address,baths,beds,date,link,popularity,price,property_type,size
"Lilly Bank, Model Farm Road, Co. Cork",1,3,2021-07-26,https://www.daft.ie/for-sale/bungalow-lilly-bank-model-farm-road-co-cork/3439831,1380,380000,Bungalow,90
"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-22-beech-road-muskerry-estate-ballincollg-ballincollig-co-cork/3439813,1572,350000,Semi-D,130
"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",2,3,2021-07-26,https://www.daft.ie/for-sale/detached-house-92-leslies-arch-old-quarter-ballincollig-co-cork/3439767,2202,330000,Detached,93
"The Bungalow, Coolroe, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/detached-house-the-bungalow-coolroe-ballincollig-co-cork/3439755,1259,375000,Detached,116
"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",2,3,2021-07-26,https://www.daft.ie/for-sale/detached-house-1-manor-avenue-grange-manor-ovens-co-cork/3439735,1256,335000,Detached,118
"Vesna, 57 Rosewood, Ballincollig, Co. Cork",3,4,2021-07-26,https://www.daft.ie/for-sale/detached-house-vesna-57-rosewood-ballincollig-co-cork/3433450,5502,395000,Detached,203
"36 Westcourt Heights, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/detached-house-36-westcourt-heights-ballincollig-co-cork/3413318,5030,345000,Detached,129
"2 Glendower Court, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-2-glendower-court-ballincollig-co-cork/3411945,3781,315000,Semi-D,129
"17 Coolroe Heights, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-17-coolroe-heights-ballincollig-co-cork/3290154,3170,295000,Semi-D,118
"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",2,3,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-20-oak-avenue-classes-lake-ovens-co-cork/3245743,4700,300000,Semi-D,118
"Fatima, Poulavone, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/bungalow-fatima-poulavone-ballincollig-co-cork/2933649,11777,365000,Bungalow,106
"Farran Ovens, Ballincollig, Co. Cork",2,4,2021-07-26,https://www.daft.ie/for-sale/bungalow-farran-ovens-ballincollig-co-cork/1519052,23858,325000,Bungalow,167
"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",3,4,2021-07-26,https://www.daft.ie/for-sale/semi-detached-house-5-farran-view-cottages-clashanure-ovens-co-cork/1445534,47984,230000,Semi-D,130
"21 Leesdale Drive, Ballincollig, Co. Cork",2,3,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,1983,260000,Semi-D,81
"Grange Hill, Ovens, Co. Cork",1,3,2021-07-27,https://www.daft.ie/for-sale/detached-house-grange-hill-ovens-co-cork/3475035,565,380000,Detached,105
"9 Highfield Crescent, Ballincollig, Co. Cork",3,3,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3472933,1209,370000,Semi-D,113
"25 Leeview, Ballincollig, Co. Cork",2,3,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-25-leeview-ballincollig-co-cork/3472932,1594,280000,Semi-D,89
"Altona, Kerry Pike, Co. Cork",2,4,2021-07-27,https://www.daft.ie/for-sale/detached-house-altona-kerry-pike-co-cork/3472439,3578,395000,Detached,158
"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",3,4,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-39-the-brambles-classes-lake-ballincollig-co-cork/3466672,2628,360000,Semi-D,107
"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",2,4,2021-07-27,https://www.daft.ie/for-sale/bungalow-coolroe-ballincollig-cork-ballincollig-co-cork/3465760,2627,380000,Bungalow,134
"50 Old Court, Greenfields, Ballincollig, Co. Cork",3,3,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-50-old-court-greenfields-ballincollig-co-cork/3465112,1846,350000,Semi-D,87
"15 Orchard Lane, Aherla, Co. Cork",2,3,2021-07-27,https://www.daft.ie/for-sale/terraced-house-15-orchard-lane-aherla-co-cork/3464921,1361,275000,Terrace,87
"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",3,3,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-79-coopers-grange-old-quarter-ballincollig-co-cork/3453918,3242,345000,Semi-D,103
"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",3,3,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-8-millers-court-old-quarter-ballincollig-co-cork/3453894,2136,345000,Semi-D,106
"36 Castlepark, Ballincollig, Co. Cork",2,3,2021-07-27,https://www.daft.ie/for-sale/terraced-house-36-castlepark-ballincollig-co-cork/3451398,3854,225000,Terrace,89
"104 Caisleán Grove, Ballincollig, Co. Cork",3,3,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-104-caisle-n-grove-ballincollig-co-cork/3447436,2502,279000,Semi-D,89
"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",3,3,2021-07-27,https://www.daft.ie/for-sale/end-of-terrace-house-14-the-avenue-highfield-park-ballincollig-co-cork/3441522,3200,325000,End of Terrace,108
"Lilly Bank, Model Farm Road, Co. Cork",1,3,2021-07-27,https://www.daft.ie/for-sale/bungalow-lilly-bank-model-farm-road-co-cork/3439831,1398,380000,Bungalow,90
"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",2,4,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-22-beech-road-muskerry-estate-ballincollg-ballincollig-co-cork/3439813,1601,350000,Semi-D,130
"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",2,3,2021-07-27,https://www.daft.ie/for-sale/detached-house-92-leslies-arch-old-quarter-ballincollig-co-cork/3439767,2228,330000,Detached,93
"The Bungalow, Coolroe, Ballincollig, Co. Cork",2,4,2021-07-27,https://www.daft.ie/for-sale/detached-house-the-bungalow-coolroe-ballincollig-co-cork/3439755,1280,375000,Detached,116
"1 Manor Avenue, Grange Manor, Ovens, Co. Cork",2,3,2021-07-27,https://www.daft.ie/for-sale/detached-house-1-manor-avenue-grange-manor-ovens-co-cork/3439735,1275,335000,Detached,118
"Vesna, 57 Rosewood, Ballincollig, Co. Cork",3,4,2021-07-27,https://www.daft.ie/for-sale/detached-house-vesna-57-rosewood-ballincollig-co-cork/3433450,5556,395000,Detached,203
"36 Westcourt Heights, Ballincollig, Co. Cork",2,4,2021-07-27,https://www.daft.ie/for-sale/detached-house-36-westcourt-heights-ballincollig-co-cork/3413318,5053,345000,Detached,129
"2 Glendower Court, Ballincollig, Co. Cork",2,4,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-2-glendower-court-ballincollig-co-cork/3411945,3807,315000,Semi-D,129
"17 Coolroe Heights, Ballincollig, Co. Cork",2,4,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-17-coolroe-heights-ballincollig-co-cork/3290154,3207,295000,Semi-D,118
"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",2,3,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-20-oak-avenue-classes-lake-ovens-co-cork/3245743,4723,300000,Semi-D,118
"Fatima, Poulavone, Ballincollig, Co. Cork",2,4,2021-07-27,https://www.daft.ie/for-sale/bungalow-fatima-poulavone-ballincollig-co-cork/2933649,11788,365000,Bungalow,106
"Farran Ovens, Ballincollig, Co. Cork",2,4,2021-07-27,https://www.daft.ie/for-sale/bungalow-farran-ovens-ballincollig-co-cork/1519052,23889,325000,Bungalow,167
"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",3,4,2021-07-27,https://www.daft.ie/for-sale/semi-detached-house-5-farran-view-cottages-clashanure-ovens-co-cork/1445534,48026,230000,Semi-D,130
"21 Leesdale Drive, Ballincollig, Co. Cork",2,3,2021-07-28,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,2316,260000,Semi-D,81
"Grange Hill, Ovens, Co. Cork",1,3,2021-07-28,https://www.daft.ie/for-sale/detached-house-grange-hill-ovens-co-cork/3475035,640,380000,Detached,105
"9 Highfield Crescent, Ballincollig, Co. Cork",3,3,2021-07-28,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3472933,1372,370000,Semi-D,113
"25 Leeview, Ballincollig, Co. Cork",2,3,2021-07-28,https://www.daft.ie/for-sale/semi-detached-house-25-leeview-ballincollig-co-cork/3472932,1791,280000,Semi-D,89
"Altona, Kerry Pike, Co. Cork",2,4,2021-07-28,https://www.daft.ie/for-sale/detached-house-altona-kerry-pike-co-cork/3472439,3895,395000,Detached,158
"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",3,4,2021-07-28,https://www.daft.ie/for-sale/semi-detached-house-39-the-brambles-classes-lake-ballincollig-co-cork/3466672,2749,360000,Semi-D,107
"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",2,4,2021-07-28,https://www.daft.ie/for-sale/bungalow-coolroe-ballincollig-cork-ballincollig-co-cork/3465760,2764,380000,Bungalow,134
"50 Old Court, Greenfields, Ballincollig, Co. Cork",3,3,2021-07-28,https://www.daft.ie/for-sale/semi-detached-house-50-old-court-greenfields-ballincollig-co-cork/3465112,1946,350000,Semi-D,87
"15 Orchard Lane, Aherla, Co. Cork",2,3,2021-07-28,https://www.daft.ie/for-sale/terraced-house-15-orchard-lane-aherla-co-cork/3464921,1432,275000,Terrace,87
"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",3,3,2021-07-28,https://www.daft.ie/for-sale/semi-detached-house-79-coopers-grange-old-quarter-ballincollig-co-cork/3453918,3373,345000,Semi-D,103
"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",3,3,2021-07-28,https://www.daft.ie/for-sale/semi-detached-house-8-millers-court-old-quarter-ballincollig-co-cork/3453894,2223,345000,Semi-D,106
"36 Castlepark, Ballincollig, Co. Cork",2,3,2021-07-28,https://www.daft.ie/for-sale/terraced-house-36-castlepark-ballincollig-co-cork/3451398,4002,225000,Terrace,89
"104 Caisleán Grove, Ballincollig, Co. Cork",3,3,2021-07-28,https://www.daft.ie/for-sale/semi-detached-house-104-caisle-n-grove-ballincollig-co-cork/3447436,2619,279000,Semi-D,89
"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",3,3,2021-07-28,https://www.daft.ie/for-sale/end-of-terrace-house-14-the-avenue-highfield-park-ballincollig-co-cork/3441522,3283,325000,End of Terrace,108
"Lilly Bank, Model Farm Road, Co. Cork",1,3,2021-07-28,https://www.daft.ie/for-sale/bungalow-lilly-bank-model-farm-road-co-cork/3439831,1444,380000,Bungalow,90
"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",2,4,2021-07-28,https://www.daft.ie/for-sale/semi-detached-house-22-beech-road-muskerry-estate-ballincollg-ballincollig-co-cork/3439813,1661,350000,Semi-D,130
"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",2,3,2021-07-28,https://www.daft.ie/for-sale/detached-house-92-leslies-arch-old-quarter-ballincollig-co-cork/3439767,2274,330000,Detached,93
"The Bungalow, Coolroe, Ballincollig, Co. Cork",2,4,2021-07-28,https://www.daft.ie/for-sale/detached-house-the-bungalow-coolroe-ballincollig-co-cork/3439755,1330,375000,Detached,116
"Vesna, 57 Rosewood, Ballincollig, Co. Cork",3,4,2021-07-28,https://www.daft.ie/for-sale/detached-house-vesna-57-rosewood-ballincollig-co-cork/3433450,5683,395000,Detached,203
"36 Westcourt Heights, Ballincollig, Co. Cork",2,4,2021-07-28,https://www.daft.ie/for-sale/detached-house-36-westcourt-heights-ballincollig-co-cork/3413318,5120,345000,Detached,129
"2 Glendower Court, Ballincollig, Co. Cork",2,4,2021-07-28,https://www.daft.ie/for-sale/semi-detached-house-2-glendower-court-ballincollig-co-cork/3411945,3871,315000,Semi-D,129
"17 Coolroe Heights, Ballincollig, Co. Cork",2,4,2021-07-28,https://www.daft.ie/for-sale/semi-detached-house-17-coolroe-heights-ballincollig-co-cork/3290154,3260,295000,Semi-D,118
"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",2,3,2021-07-28,https://www.daft.ie/for-sale/semi-detached-house-20-oak-avenue-classes-lake-ovens-co-cork/3245743,4768,300000,Semi-D,118
"Fatima, Poulavone, Ballincollig, Co. Cork",2,4,2021-07-28,https://www.daft.ie/for-sale/bungalow-fatima-poulavone-ballincollig-co-cork/2933649,11826,365000,Bungalow,106
"Farran Ovens, Ballincollig, Co. Cork",2,4,2021-07-28,https://www.daft.ie/for-sale/bungalow-farran-ovens-ballincollig-co-cork/1519052,23943,325000,Bungalow,167
"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",3,4,2021-07-28,https://www.daft.ie/for-sale/semi-detached-house-5-farran-view-cottages-clashanure-ovens-co-cork/1445534,48156,230000,Semi-D,130
"194 The Willows, Ballincollig, Co. Cork",2,3,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-194-the-willows-ballincollig-co-cork/3481893,325,249500,Semi-D,
"25 Innishmore Drive, Ballincollig, Co. Cork",2,3,2021-07-29,https://www.daft.ie/for-sale/bungalow-25-innishmore-drive-ballincollig-co-cork/3482025,439,229000,Bungalow,
"15 Glincool Grove, Ballincollig, Co. Cork",2,4,2021-07-29,https://www.daft.ie/for-sale/detached-house-15-glincool-grove-ballincollig-co-cork/3480568,1057,315000,Detached,
"21 Leesdale Drive, Ballincollig, Co. Cork",2,3,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,2534,260000,Semi-D,81
"Grange Hill, Ovens, Co. Cork",1,3,2021-07-29,https://www.daft.ie/for-sale/detached-house-grange-hill-ovens-co-cork/3475035,703,380000,Detached,105
"9 Highfield Crescent, Ballincollig, Co. Cork",3,3,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3472933,1481,370000,Semi-D,113
"25 Leeview, Ballincollig, Co. Cork",2,3,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-25-leeview-ballincollig-co-cork/3472932,1912,280000,Semi-D,89
"Altona, Kerry Pike, Co. Cork",2,4,2021-07-29,https://www.daft.ie/for-sale/detached-house-altona-kerry-pike-co-cork/3472439,4192,395000,Detached,158
"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",3,4,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-39-the-brambles-classes-lake-ballincollig-co-cork/3466672,2858,360000,Semi-D,107
"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",2,4,2021-07-29,https://www.daft.ie/for-sale/bungalow-coolroe-ballincollig-cork-ballincollig-co-cork/3465760,2883,380000,Bungalow,134
"50 Old Court, Greenfields, Ballincollig, Co. Cork",3,3,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-50-old-court-greenfields-ballincollig-co-cork/3465112,2029,350000,Semi-D,87
"15 Orchard Lane, Aherla, Co. Cork",2,3,2021-07-29,https://www.daft.ie/for-sale/terraced-house-15-orchard-lane-aherla-co-cork/3464921,1505,275000,Terrace,87
"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",3,3,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-79-coopers-grange-old-quarter-ballincollig-co-cork/3453918,3481,345000,Semi-D,103
"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",3,3,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-8-millers-court-old-quarter-ballincollig-co-cork/3453894,2290,345000,Semi-D,106
"36 Castlepark, Ballincollig, Co. Cork",2,3,2021-07-29,https://www.daft.ie/for-sale/terraced-house-36-castlepark-ballincollig-co-cork/3451398,4121,225000,Terrace,89
"104 Caisleán Grove, Ballincollig, Co. Cork",3,3,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-104-caisle-n-grove-ballincollig-co-cork/3447436,2695,279000,Semi-D,89
"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",3,3,2021-07-29,https://www.daft.ie/for-sale/end-of-terrace-house-14-the-avenue-highfield-park-ballincollig-co-cork/3441522,3352,325000,End of Terrace,108
"Lilly Bank, Model Farm Road, Co. Cork",1,3,2021-07-29,https://www.daft.ie/for-sale/bungalow-lilly-bank-model-farm-road-co-cork/3439831,1495,380000,Bungalow,90
"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",2,4,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-22-beech-road-muskerry-estate-ballincollg-ballincollig-co-cork/3439813,1725,350000,Semi-D,130
"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",2,3,2021-07-29,https://www.daft.ie/for-sale/detached-house-92-leslies-arch-old-quarter-ballincollig-co-cork/3439767,2333,330000,Detached,93
"The Bungalow, Coolroe, Ballincollig, Co. Cork",2,4,2021-07-29,https://www.daft.ie/for-sale/detached-house-the-bungalow-coolroe-ballincollig-co-cork/3439755,1377,375000,Detached,116
"Vesna, 57 Rosewood, Ballincollig, Co. Cork",3,4,2021-07-29,https://www.daft.ie/for-sale/detached-house-vesna-57-rosewood-ballincollig-co-cork/3433450,5842,395000,Detached,203
"36 Westcourt Heights, Ballincollig, Co. Cork",2,4,2021-07-29,https://www.daft.ie/for-sale/detached-house-36-westcourt-heights-ballincollig-co-cork/3413318,5170,345000,Detached,129
"2 Glendower Court, Ballincollig, Co. Cork",2,4,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-2-glendower-court-ballincollig-co-cork/3411945,3938,315000,Semi-D,129
"17 Coolroe Heights, Ballincollig, Co. Cork",2,4,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-17-coolroe-heights-ballincollig-co-cork/3290154,3327,295000,Semi-D,118
"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",2,3,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-20-oak-avenue-classes-lake-ovens-co-cork/3245743,4814,300000,Semi-D,118
"Fatima, Poulavone, Ballincollig, Co. Cork",2,4,2021-07-29,https://www.daft.ie/for-sale/bungalow-fatima-poulavone-ballincollig-co-cork/2933649,11857,365000,Bungalow,106
"Farran Ovens, Ballincollig, Co. Cork",2,4,2021-07-29,https://www.daft.ie/for-sale/bungalow-farran-ovens-ballincollig-co-cork/1519052,23996,325000,Bungalow,167
"5 Farran View Cottages, Clashanure, Ovens, Co. Cork",3,4,2021-07-29,https://www.daft.ie/for-sale/semi-detached-house-5-farran-view-cottages-clashanure-ovens-co-cork/1445534,48270,230000,Semi-D,130
"194 The Willows, Ballincollig, Co. Cork",2,3,2021-07-30,https://www.daft.ie/for-sale/semi-detached-house-194-the-willows-ballincollig-co-cork/3481893,1014,249500,Semi-D,
"25 Innishmore Drive, Ballincollig, Co. Cork",2,3,2021-07-30,https://www.daft.ie/for-sale/bungalow-25-innishmore-drive-ballincollig-co-cork/3482025,1246,229000,Bungalow,
"15 Glincool Grove, Ballincollig, Co. Cork",2,4,2021-07-30,https://www.daft.ie/for-sale/detached-house-15-glincool-grove-ballincollig-co-cork/3480568,1239,315000,Detached,
"21 Leesdale Drive, Ballincollig, Co. Cork",2,3,2021-07-30,https://www.daft.ie/for-sale/semi-detached-house-21-leesdale-drive-ballincollig-co-cork/3475146,2702,260000,Semi-D,81
"Grange Hill, Ovens, Co. Cork",1,3,2021-07-30,https://www.daft.ie/for-sale/detached-house-grange-hill-ovens-co-cork/3475035,744,380000,Detached,105
"9 Highfield Crescent, Ballincollig, Co. Cork",3,3,2021-07-30,https://www.daft.ie/for-sale/semi-detached-house-9-highfield-crescent-ballincollig-co-cork/3472933,1552,370000,Semi-D,113
"25 Leeview, Ballincollig, Co. Cork",2,3,2021-07-30,https://www.daft.ie/for-sale/semi-detached-house-25-leeview-ballincollig-co-cork/3472932,1988,280000,Semi-D,89
"Altona, Kerry Pike, Co. Cork",2,4,2021-07-30,https://www.daft.ie/for-sale/detached-house-altona-kerry-pike-co-cork/3472439,4424,395000,Detached,158
"39 The Brambles, Classes Lake, Ballincollig, Co. Cork",3,4,2021-07-30,https://www.daft.ie/for-sale/semi-detached-house-39-the-brambles-classes-lake-ballincollig-co-cork/3466672,2948,360000,Semi-D,107
"Coolroe Ballincollig Cork, Ballincollig, Co. Cork",2,4,2021-07-30,https://www.daft.ie/for-sale/bungalow-coolroe-ballincollig-cork-ballincollig-co-cork/3465760,2950,380000,Bungalow,134
"50 Old Court, Greenfields, Ballincollig, Co. Cork",3,3,2021-07-30,https://www.daft.ie/for-sale/semi-detached-house-50-old-court-greenfields-ballincollig-co-cork/3465112,2086,350000,Semi-D,87
"15 Orchard Lane, Aherla, Co. Cork",2,3,2021-07-30,https://www.daft.ie/for-sale/terraced-house-15-orchard-lane-aherla-co-cork/3464921,1567,275000,Terrace,87
"79 Coopers Grange, Old Quarter, Ballincollig, Co. Cork",3,3,2021-07-30,https://www.daft.ie/for-sale/semi-detached-house-79-coopers-grange-old-quarter-ballincollig-co-cork/3453918,3564,345000,Semi-D,103
"8 Millers Court, Old Quarter, Ballincollig, Co. Cork",3,3,2021-07-30,https://www.daft.ie/for-sale/semi-detached-house-8-millers-court-old-quarter-ballincollig-co-cork/3453894,2332,345000,Semi-D,106
"36 Castlepark, Ballincollig, Co. Cork",2,3,2021-07-30,https://www.daft.ie/for-sale/terraced-house-36-castlepark-ballincollig-co-cork/3451398,4222,225000,Terrace,89
"104 Caisleán Grove, Ballincollig, Co. Cork",3,3,2021-07-30,https://www.daft.ie/for-sale/semi-detached-house-104-caisle-n-grove-ballincollig-co-cork/3447436,2733,279000,Semi-D,89
"14 The Avenue, Highfield Park, Ballincollig, Co. Cork",3,3,2021-07-30,https://www.daft.ie/for-sale/end-of-terrace-house-14-the-avenue-highfield-park-ballincollig-co-cork/3441522,3398,325000,End of Terrace,108
"Lilly Bank, Model Farm Road, Co. Cork",1,3,2021-07-30,https://www.daft.ie/for-sale/bungalow-lilly-bank-model-farm-road-co-cork/3439831,1543,380000,Bungalow,90
"22 Beech Road, Muskerry Estate, Ballincollg, Ballincollig, Co. Cork",2,4,2021-07-30,https://www.daft.ie/for-sale/semi-detached-house-22-beech-road-muskerry-estate-ballincollg-ballincollig-co-cork/3439813,1769,350000,Semi-D,130
"92 Leslies Arch, Old Quarter, Ballincollig, Co. Cork",2,3,2021-07-30,https://www.daft.ie/for-sale/detached-house-92-leslies-arch-old-quarter-ballincollig-co-cork/3439767,2368,330000,Detached,93
"The Bungalow, Coolroe, Ballincollig, Co. Cork",2,4,2021-07-30,https://www.daft.ie/for-sale/detached-house-the-bungalow-coolroe-ballincollig-co-cork/3439755,1411,375000,Detached,116
"Vesna, 57 Rosewood, Ballincollig, Co. Cork",3,4,2021-07-30,https://www.daft.ie/for-sale/detached-house-vesna-57-rosewood-ballincollig-co-cork/3433450,5922,395000,Detached,203
"36 Westcourt Heights, Ballincollig, Co. Cork",2,4,2021-07-30,https://www.daft.ie/for-sale/detached-house-36-westcourt-heights-ballincollig-co-cork/3413318,5210,345000,Detached,129
"2 Glendower Court, Ballincollig, Co. Cork",2,4,2021-07-30,https://www.daft.ie/for-sale/semi-detached-house-2-glendower-court-ballincollig-co-cork/3411945,3969,315000,Semi-D,129
"17 Coolroe Heights, Ballincollig, Co. Cork",2,4,2021-07-30,https://www.daft.ie/for-sale/semi-detached-house-17-coolroe-heights-ballincollig-co-cork/3290154,3345,295000,Semi-D,118
"20 Oak Avenue, Classes Lake, Ovens, Co. Cork",2,3,2021-07-30,https://www.daft.ie/for-sale/semi-detached-house-20-oak-avenue-classes-lake-ovens-co-cork/3245743,4844,300000,Semi-D,118
"Fatima, Poulavone, Ballincollig, Co. Cork",2,4,2021-07-30,https://www.daft.ie/for-sale/bungalow-fatima-poulavone-ballincollig-co-cork/2933649,11886,365000,Bungalow,106
"Farran Ovens, Ballincollig, Co. Cork",2,4,2021-07-30,https://www.daft.ie/for-sale/bungalow-farran-ovens-ballincollig-co-cork/1519052,24033,325000,Bungalow,167
